HUD frame time nsec:,16674000

Range Index,Elapsed Time, First Event,Last Event
0,23904,2,2
1,30976,8,8
2,64992,15,15
3,1024,19,19
4,1344,24,24
5,608,29,29
6,8544,35,35
7,761312,54,54
8,92000,58,58
9,672,63,63
10,1199616,68,68
11,10720,77,77
12,640,83,83
13,640,87,87
14,640,92,92
15,16928,97,97
16,3840,103,103
17,1696,109,109
18,640,113,113
19,640,118,118
20,640,123,123
21,3488,129,129
22,1760,135,135
23,672,139,139
24,640,144,144
25,640,149,149
26,10176,154,154
27,650240,182,182
28,150880,186,186
29,1600,191,191
30,5257696,196,196
31,3777280,205,205
